Nomer, Name, Genres
4,Waiting to Exhale (1995),Comedy|Drama|Romance|
8,Tom and Huck (1995),Adventure|Children|
12,Dracula: Dead and Loving It (1995),Comedy|Horror|
16,Casino (1995),Crime|Drama|
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller|
24,Powder (1995),Drama|Sci-Fi|
28,Persuasion (1995),Drama|Romance|
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller|
36,Dead Man Walking (1995),Crime|Drama|
40,Cry, the Beloved Country (1995),Drama|
44,Mortal Kombat (1995),Action|Adventure|Fantasy|
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance|
52,Mighty Aphrodite (1995),Comedy|Drama|Romance|
56,Kids of the Round Table (1995),Adventure|Children|Fantasy|
60,Indian in the Cupboard, The (1995),Adventure|Children|Fantasy|
64,Two if by Sea (1996),Comedy|Romance|
68,French Twist (Gazon maudit) (1995),Comedy|Romance|
72,Kicking and Screaming (1995),Comedy|Drama|
76,Screamers (1995),Action|Sci-Fi|Thriller|
80,White Balloon, The (Badkonake sefid) (1995),Children|Drama|
84,Last Summer in the Hamptons (1995),Comedy|Drama|
88,Black Sheep (1996),Comedy|
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance|
97,Hate (Haine, La) (1995),Crime|Drama|
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance|
105,Bridges of Madison County, The (1995),Drama|Romance|
109,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller|
113,Before and After (1996),Drama|Mystery|
117,Young Poisoner's Handbook, The (1995),Crime|Drama|
121,Boys of St. Vincent, The (1992),Drama|
125,Flirting With Disaster (1996),Comedy|
129,Pie in the Sky (1996),Comedy|Romance|
133,Nueba Yol (1995),Comedy|Drama|
137,Man of the Year (1995),Documentary|
141,Birdcage, The (1996),Comedy|
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller|
149,Amateur (1994),Crime|Drama|Thriller|
153,Batman Forever (1995),Action|Adventure|Comedy|Crime|
157,Canadian Bacon (1995),Comedy|War|
161,Crimson Tide (1995),Drama|Thriller|War|
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller|
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama|
173,Judge Dredd (1995),Action|Crime|Sci-Fi|
177,Lord of Illusions (1995),Horror|
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children|
185,Net, The (1995),Action|Crime|Thriller|
189,Reckless (1995),Comedy|Fantasy|
193,Showgirls (1995),Drama|
197,Stars Fell on Henrietta, The (1995),Drama|
201,Three Wishes (1995),Drama|Fantasy|
205,Unstrung Heroes (1995),Comedy|Drama|
209,White Man's Burden (1995),Drama|
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama|
217,Babysitter, The (1995),Drama|Thriller|
222,Circle of Friends (1995),Drama|Romance|
